¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Call Sheet,"A type of schedule given out periodically during a film's production to let every department know when they are supposed to arrive and where they are to report, usually refers to a listing of actors necessary for scenes"
Cambio De Enfoque,"Cambio de enfoque - una toma donde se cambia el enfoque durante la filmación. A diferencia de una toma de enfoque seguimiento, una toma de cambio de enfoque generalmente se hace no por necesidad de mantener a alguien enfocado, sino para cambiar la atención de una cosa a otra."
Cameo,"Originally meaning ""a small piece of artwork,"" refers to a bit part (usually a brief, non-speaking or walk-on role that is uncredited or unbilled) or special screen appearance by a famous actor, director, or prominent person who would ordinarily not take such a small part, contrast to a bit part, also refers to a type of camera shot in which the subject is filmed against a black or neutral background. See directors' cameos."
Camera,"The basic machine involved in film-making, from a hand-held version to portables, to heavy studio cameras, some of the parts of a camera include the aperture, lens, film magazine (for storage), viewfinder, etc, the positioning of the camera by the camera operator is known as the setup"
Camera Angle,"The point of view (pov) or perspective (including relative height or direction) chosen from which to photograph a subject. Various camera angles, compositions, or positions include: front, behind, side, top, high (looking down), low (looking up), straight-on or eye-level (standard or neutral angle), tilted (canted or oblique), or subjective, etc., See also framing"
Camera Core,Un núcleo de 2 pulgadas.
Camera Movement,"The use of the camera to obtain various camera angles and perspectives. (See motion picture camera shots below, including the pan, tilt, track, and zoom, also boom/crane shots, steadicam, or hand-held)"
Camera Noise,El sonido de la cámara en funcionamiento. Incluso las cámaras supuestamente silenciosas harán algo de ruido.
Camera Operator,"The individual who is responsible for operating the camera, under the direction of the film's director and director of photography (or cinematography)"
Camera Original,"Una forma ligeramente más contundente de decir ""original""."
Camera Reports,"Una forma de documentación utilizada para registrar tomas y tomas y poner notas a la sala de revelado o para la organización futura en la etapa de edición. Normalmente hay un informe de cámara por rollo de cámara. Los informes de cámara pueden usarse para comunicar solicitudes de tiempo específicas al laboratorio (por ejemplo, si una toma está iluminada con geles de color inusuales, esto puede ser anotado para que el temporizador sepa que no corrija el color). Los informes de cámara son extremadamente útiles para analizar cualquier problema con la toma, ya que proporcionan un registro escrito de la cobertura (lo menos que es que si la pizarra tiene la información incorrecta escrita en ella, lo que sucede de vez en cuando, se puede hacer una nota en los informes de la cámara para evitar que el editor asistente se confunda sobre qué toma es cuál)."
Camera Roll,Cada rollo que se filma se convierte en un rollo de cámara. A menudo es útil etiquetarlos con un número en el orden en que se filmaron. El laboratorio luego los ensamblará e imprimirá en ese orden. Esto hace que las cosas sean menos confusas cuando se recibe por primera vez su metraje.
Camera Stock,Esto es película. También se llama película de cámara para distinguirla de la película de impresión.
Camera Tape,"Cinta de tela específicamente para su uso en rodajes de películas, muy similar a la cinta adhesiva de electricista. La cinta de cámara suele tener 1 pulgada de ancho y es blanca para que se pueda usar junto con un marcador para etiquetar los magazines con el tipo de emulsión y el número del rollo de cámara. Es válido usar los términos cinta adhesiva de electricista y cinta adhesiva de cámara indistintamente (ambos son realmente el mismo tipo de cinta) dependiendo de cómo se utilice la cinta. Está diseñada para no dejar un residuo pegajoso en la cámara."
Camp (o Campy),"Un tipo de comedia paródica en la que las situaciones y los dispositivos de trama convencionales, especialmente los exagerados o clichés, se exageran intencionalmente hasta el punto de la absurdidad para producir humor."
Can (in The Can),"Se refiere al contenedor redondo de metal/plástico que contiene o almacena películas (bobinas) para transportarlas o almacenarlas a largo plazo. Una película que se ha completado se conoce coloquialmente como ""en la lata""."
Candlelight (iluminación),"Se refiere a la iluminación proporcionada por la luz de las velas, para proporcionar un tono cálido y connotar intimidad, romance y armonía."
Canted Angle,Ver dutch tilt.
Capsule Review,Una breve reseña de una película.
Caption,"La línea(s) de texto descriptivo impreso que aparece ocasionalmente en la pantalla, generalmente en la parte inferior del cuadro, para describir el tiempo/lugar o para traducir una palabra/frase extranjera, diferente del subtitulado cerrado (los subtítulos cerrados son todas letras mayúsculas blancas encerradas en un cuadro negro que requieren un decodificador o televisión con un chip de decodificación para ser vistos) para espectadores sordos o con problemas de audición, ver también subtítulos."
Caricature,"Un personaje que aparece ridículamente fuera de proporción debido a un rasgo físico, psicológico o moral que ha sido exagerado de manera grosera o amplia, a menudo, una caricatura retrata a un personaje de manera irreal, estereotipada."
Cartoon,"Una película animada que generalmente no es de larga duración, ver también animación."
Casa De Mezcla,Un estudio de sonido específicamente para mezclar sonido para películas.
Cash Cow,"En términos cinematográficos, una película blockbuster definitivamente garantizada que promete generar ganancias desproporcionadamente enormes debido a su lucrativa franquicia (secuelas, merchandising, spin-offs, etc.)."
Cast,"Un término colectivo para todos los actores/actrices (o talento) que aparecen en una película en particular: generalmente se divide en dos partes: los principales con roles de habla, y los secundarios o personajes de apoyo, actores de fondo o extras, y actores secundarios."
